# MLAT(deg)	Eh(mV/km)
-78.96 1040.61
-74.51 996.78
-60.09 1941.52
-56.97 1798.74
-51.36 926.66
-47.15 468.79
-46.44 264.75
-42.75 232.91
-41.63 324.10
-33.96 187.90
-33.01 293.87
-32.97 122.75
-28.06 181.37
-27.12 88.91
-23.69 252.11
-22.05 88.22
-15.37 102.09
-15.13 161.20
-13.24 239.63
-2.36 156.62
-1.76 399.72
5.30 206.66
10.13 102.45
10.72 107.36
11.95 141.15
12.68 100.97
16.36 119.91
19.81 143.90
20.15 216.60
21.63 178.76
21.83 105.83
24.68 209.65
27.32 97.36
27.40 188.33
28.37 127.03
30.07 139.21
30.26 220.78
35.30 164.03
38.35 223.92
39.92 177.93
40.10 347.03
41.87 233.63
42.41 265.30
42.42 214.79
42.81 216.59
43.20 213.93
43.54 231.93
45.32 299.82
45.99 252.13
46.87 244.50
46.90 271.76
48.38 202.73
48.45 327.96
48.46 497.61
48.77 187.84
49.85 272.34
50.24 351.77
51.44 512.20
51.88 918.23
53.23 548.26
53.92 946.92
54.12 2187.47
54.15 432.05
54.88 536.70
55.46 2029.47
55.69 1159.40
55.82 766.90
57.20 1004.66
57.80 2045.37
57.84 2920.39
57.89 2168.14
58.50 2258.98
60.34 747.30
61.60 1067.61
61.96 2703.21
63.91 3052.56
65.36 2742.87
65.51 1373.91
66.04 3982.72
67.98 637.33
68.95 947.01
69.57 3070.61
69.92 1393.34
73.21 633.53
73.88 2470.59
74.04 1426.68
76.55 501.65
78.60 956.94
82.93 663.28
87.73 592.03
